Exercise,Set,Reps,Avg_One_Rep_Max,Suggested_Weight
Dumbbell Incline Press,1,4,72.88888888888889,64
Dumbbell Incline Press,1,13,72.88888888888889,51
Dumbbell Incline Press,1,18,72.88888888888889,46
Dumbbell Incline Press,1,5,72.88888888888889,62
Dumbbell Incline Press,1,14,72.88888888888889,50
Dumbbell Incline Press,1,19,72.88888888888889,45
Dumbbell Incline Press,1,6,72.88888888888889,61
Dumbbell Incline Press,1,15,72.88888888888889,49
Dumbbell Incline Press,1,20,72.88888888888889,44
Dumbbell Incline Press,1,7,72.88888888888889,59
Dumbbell Incline Press,1,16,72.88888888888889,48
Dumbbell Incline Press,1,9,72.88888888888889,56
Dumbbell Incline Press,1,8,72.88888888888889,58
Dumbbell Incline Press,1,11,72.88888888888889,53
Dumbbell Incline Press,1,10,72.88888888888889,55
Dumbbell Rows,1,3,105.6888888888889,96
Dumbbell Rows,1,12,105.6888888888889,75
Dumbbell Rows,1,17,105.6888888888889,67
Dumbbell Rows,1,4,105.6888888888889,93
Dumbbell Rows,1,13,105.6888888888889,74
Dumbbell Rows,1,18,105.6888888888889,66
Dumbbell Rows,1,5,105.6888888888889,91
Dumbbell Rows,1,14,105.6888888888889,72
Dumbbell Rows,1,19,105.6888888888889,65
Dumbbell Rows,1,6,105.6888888888889,88
Dumbbell Rows,1,15,105.6888888888889,70
Dumbbell Rows,1,20,105.6888888888889,63
Dumbbell Rows,1,7,105.6888888888889,86
Dumbbell Rows,1,16,105.6888888888889,69
Dumbbell Rows,1,9,105.6888888888889,81
Dumbbell Rows,1,8,105.6888888888889,83
Dumbbell Rows,1,11,105.6888888888889,77
Dumbbell Rows,1,10,105.6888888888889,79
Hammer Curls,1,3,38.27777777777778,35
Hammer Curls,1,12,38.27777777777778,27
Hammer Curls,1,17,38.27777777777778,24
Hammer Curls,1,4,38.27777777777778,34
Hammer Curls,1,13,38.27777777777778,27
Hammer Curls,1,18,38.27777777777778,24
Hammer Curls,1,5,38.27777777777778,33
Hammer Curls,1,14,38.27777777777778,26
Hammer Curls,1,19,38.27777777777778,23
Hammer Curls,1,6,38.27777777777778,32
Hammer Curls,1,15,38.27777777777778,26
Hammer Curls,1,20,38.27777777777778,23
Hammer Curls,1,7,38.27777777777778,31
Hammer Curls,1,16,38.27777777777778,25
Hammer Curls,1,9,38.27777777777778,29
Hammer Curls,1,8,38.27777777777778,30
Hammer Curls,1,11,38.27777777777778,28
Hammer Curls,1,10,38.27777777777778,29
Lateral Raises,1,3,21,19
Lateral Raises,1,12,21,15
Lateral Raises,1,17,21,13
Lateral Raises,1,4,21,19
Lateral Raises,1,13,21,15
Lateral Raises,1,18,21,13
Lateral Raises,1,5,21,18
Lateral Raises,1,14,21,14
Lateral Raises,1,19,21,13
Lateral Raises,1,6,21,18
Lateral Raises,1,15,21,14
Lateral Raises,1,20,21,13
Lateral Raises,1,7,21,17
Lateral Raises,1,16,21,14
Lateral Raises,1,9,21,16
Lateral Raises,1,8,21,17
Lateral Raises,1,11,21,15
Lateral Raises,1,10,21,16
Lunges,1,3,40,36
Lunges,1,12,40,29
Lunges,1,17,40,26
Lunges,1,4,40,35
Lunges,1,13,40,28
Lunges,1,18,40,25
Lunges,1,5,40,34
